name,row_code,"Поступило в консолидированный бюджет, всего",Уд. вес в общей сумме поступлений (%),в том числе: Федеральные налоги,в том числе: из них: налог на прибыль организации: всего,в том числе: из них: налог на прибыль организации: в том числе в федеральный бюджет,в том числе: из них:налог на доходы физических лиц,в том числе: из них: НДС,в том числе: из них: акцизы по подакцизным товарам,в том числе: из них:налог на добычу полезных ископаемых,в том числе: из них:остальные налоги и сборы,в том числе: Региональные налоги и сборы,в том числе: Местные налоги и сборы,в том числе: Налоги со специальным налоговым режимом,year
"обработка древесины и производство изделий из дерева и пробки, кроме мебели",611,123.0,1.0,85.3,1.6,0.2,35.3,48.4,0.0,0.0,0.0,1.9,1.7,34.1,2016
производство нефтепродуктов,612,6.78,0.1,5.51,0.01,0.00,3.35,-0.64,2.79,0.00,0.00,1.18,0.09,0.00,2014
производство нефтепродуктов,612,0.5,0.0,0.0,0.0,0.0,0.8,-0.7,0.0,0.0,0.0,0.3,0.1,0.0,2015
производство нефтепродуктов,612,13.7,0.1,13.3,0.2,0.0,3.5,-1.4,11.1,0.0,0.0,0.3,0.1,0.0,2016
металлургическое производство и производство готовых металлических изделий,613,44.37,0.5,33.87,5.29,0.60,13.32,15.27,0.00,0.00,0.00,6.93,0.49,3.07,2014
металлургическое производство и производство готовых металлических изделий,613,52.6,0.5,36.8,1.2,0.1,21.0,14.6,0.0,0.0,0.0,9.3,0.6,6.0,2015
металлургическое производство и производство готовых металлических изделий,613,80.0,0.6,64.3,1.8,0.2,23.5,39.0,0.0,0.0,0.0,9.6,0.7,5.4,2016
производство машин и оборудования,614,121.39,1.3,107.98,11.01,0.55,44.72,52.25,0.00,0.00,0.00,6.15,1.89,5.37,2014
производство машин и оборудования,614,138.2,1.3,121.1,15.1,1.0,45.1,60.9,0.0,0.0,0.0,6.4,2.9,7.8,2015
производство машин и оборудования,614,133.8,1.1,120.0,6.9,0.7,51.9,61.2,0.0,0.0,0.0,5.2,0.6,8.0,2016
"Производство и распределение электроэнергии, газа и воды",615,313.69,3.3,260.77,27.46,1.84,114.86,117.46,0.00,0.30,0.70,47.21,1.52,4.19,2014
"Производство и распределение электроэнергии, газа и воды",615,295.8,2.8,221.5,9.5,0.4,115.5,95.0,0.0,0.2,1.2,65.4,1.7,7.2,2015
"Производство и распределение электроэнергии, газа и воды",615,451.2,3.5,366.0,128.1,1.9,123.1,113.6,0.0,0.0,1.3,75.0,1.6,8.6,2016
Строительство,616,592.96,6.2,441.29,57.88,5.32,167.48,215.00,0.00,0.77,0.16,40.79,10.61,100.28,2014
Строительство,616,631.2,5.9,471.2,90.2,10.1,151.9,228.3,0.0,0.6,0.2,40.9,11.0,108.2,2015
Строительство,616,700.5,5.5,536.3,124.0,8.6,162.1,249.2,0.0,0.9,0.1,20.8,22.5,120.9,2016
"Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",617,"1,867.21",19.6,"1,522.15",776.59,16.16,445.70,296.78,2.69,0.35,0.05,114.81,22.63,207.62,2014
"Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",617,"2,020.2",18.8,"1,594.6",685.0,19.6,439.8,468.5,0.0,1.4,0.1,131.1,28.8,265.7,2015
"Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",617,"1,822.5",14.3,"1,396.3",500.3,12.4,513.7,381.1,0.0,1.2,0.0,142.4,16.7,267.2,2016
Гостиницы и рестораны,618,51.09,0.5,28.99,4.48,0.11,20.49,4.02,0.00,0.00,0.00,0.36,0.92,20.82,2014
Гостиницы и рестораны,618,44.2,0.4,15.9,4.3,0.4,24.6,-13.1,0.0,0.0,0.0,0.4,1.4,26.6,2015
Гостиницы и рестораны,618,70.1,0.6,42.6,4.0,0.2,25.8,12.7,0.0,0.0,0.0,0.3,1.2,25.9,2016
Транспорт и связь,619,469.46,4.9,358.09,55.48,1.53,198.16,104.24,0.00,0.04,0.17,68.58,3.79,38.99,2014
Транспорт и связь,619,534.5,5.0,414.8,54.4,3.3,218.9,141.2,0.0,0.1,0.2,76.1,6.2,37.4,2015
Транспорт и связь,619,507.4,4.0,377.1,46.1,2.5,231.5,99.1,0.0,0.3,0.1,77.6,5.8,46.9,2016
