name,row_code,Задолженность: млн. рублей,Задолженность: Удельный вес в общей сумме задолженности (%),в том числе: Недоимка млн. рублей,в том числе: Недоимка Удельный вес в сумме задолженности (%),в том числе: Отсроченные (рассроченные) платежи и реструктурированная задолженность: млн. рублей,в том числе: Отсроченные (рассроченные) платежи и реструктурированная задолженность: Удельный вес в сумме задолженности (%),в том числе: Приостановленные к взысканию платежи: млн. рублей,в том числе:Приостановленные к взысканию платежи: Удельный вес в сумме задолженности (%),year
Гостиницы и рестораны,818,8.3,0.8,4.0,48.5,0.0,0.0,4.3,51.5,2016
Транспорт и связь,819,22.87,3.0,11.20,49.0,0.00,0.0,11.66,51.0,2014
Транспорт и связь,819,60.4,7.2,32.8,54.4,0.0,0.0,27.1,45.0,2015
Транспорт и связь,819,39.8,3.7,21.6,54.3,0.0,0.0,18.0,45.3,2016
Финансовая деятельность,820,2.14,0.3,1.52,71.1,0.00,0.0,0.62,28.9,2014
Финансовая деятельность,820,2.2,0.3,1.7,75.6,0.0,0.0,0.5,24.3,2015
Финансовая деятельность,820,3.2,0.3,2.7,84.4,0.0,0.0,0.5,15.6,2016
"Операции с недвижимым имуществом, аренда и предоставление услуг",821,12.64,1.7,6.78,53.7,0.00,0.0,5.85,46.3,2014
"Операции с недвижимым имуществом, аренда и предоставление услуг",821,28.2,3.4,21.0,74.5,0.0,0.0,7.2,25.5,2015
"Операции с недвижимым имуществом, аренда и предоставление услуг",821,21.7,2.0,17.8,81.9,0.0,0.0,3.9,18.1,2016
Государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение,822,0.70,0.1,0.65,92.4,0.00,0.0,0.05,7.6,2014
Государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение,822,0.9,0.1,0.8,92.6,0.0,0.0,0.1,7.4,2015
Государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение,822,0.7,0.1,0.7,100.0,0.0,0.0,0.0,0.0,2016
Образование,823,1.05,0.1,0.91,87.0,0.00,0.0,0.14,13.0,2014
Образование,823,0.3,0.0,0.2,76.4,0.0,0.0,0.1,23.6,2015
Образование,823,0.4,0.0,0.3,83.3,0.0,0.0,0.0,3.2,2016
Здравоохранение и предоставление социальных услуг,824,0.26,0.0,0.24,90.4,0.00,0.0,0.02,9.2,2014
Здравоохранение и предоставление социальных услуг,824,3.1,0.4,3.0,95.1,0.0,0.0,0.2,4.8,2015
Здравоохранение и предоставление социальных услуг,824,2.6,0.2,2.5,98.1,0.0,0.0,0.0,1.8,2016
"Предоставление прочих коммунальных, социальных и персональных услуг",825,4.57,0.6,2.52,55.3,0.00,0.0,2.04,44.7,2014
"Предоставление прочих коммунальных, социальных и персональных услуг",825,6.8,0.8,4.3,62.4,0.0,0.0,2.5,37.3,2015
"Предоставление прочих коммунальных, социальных и персональных услуг",825,10.9,1.0,9.2,84.9,0.0,0.0,1.6,15.1,2016
Остальные виды экономической деятельности,826,7.62,1.0,7.62,100.0,0.00,0.0,14.53,190.8,2014
Остальные виды экономической деятельности,826,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2015
Остальные виды экономической деятельности,826,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2016
